exercicio,conta,PREVISÃO ATUALIZADA (a),No Bimestre (b)
2022,OUTRAS RECEITAS CORRENTES,327717318.69,68803937.94
2022,OUTRAS RECEITAS DE CAPITAL,582370.46,
2022,Operações de Crédito - Mercado Interno,,102310.5
2022,Outras Transferências,,6513.46
2022,Outros Serviços,5388090.18,1167916.9300000002
2022,PESSOAL E ENCARGOS SOCIAIS,,
2022,RECEITA DE SERVIÇOS,294539460.18,61616949.70999999
2022,RECEITA PATRIMONIAL,316264913.84,139513474.79
2022,RECEITAS (EXCETO INTRA-ORÇAMENTÁRIAS) (I),11003662775.3,2207564970.44
2022,RECEITAS (INTRA-ORÇAMENTÁRIAS) (II),733382763.28,256086544.86
2022,RECEITAS CORRENTES,11224623611.28,2316157458.21
2022,RECEITAS DE CAPITAL,145730545.66,19450784.66
2022,RESERVA DE CONTINGÊNCIA,,
2022,Recursos Arrecadados em Exercícios Anteriores - RPPS,267482350.0,
2022,SALDOS DE EXERCÍCIOS ANTERIORES,2216107985.79,
2022,SUBTOTAL DAS DESPESAS (X) = (VIII + IX),,
2022,SUBTOTAL DAS RECEITAS (III) = (I + II),11370354156.94,2335608242.87
2022,SUPERÁVIT (XIII),,
2022,Serviços Administrativos e Comerciais Gerais,289143911.0,60366414.17
2022,Serviços e Atividades Financeiras,7459.0,
2022,Serviços e Atividades Referentes à Navegação e ao Transporte,,82618.61
2022,Superávit Financeiro Utilizado para Créditos Adicionais,1948625635.79,
2022,TOTAL COM DÉFICIT (VII) = (V + VI),11370354156.94,2335608242.87
2022,TOTAL COM SUPERÁVIT (XIV) = (XII + XIII),,
2022,TOTAL DAS DESPESAS (XII) = (X + XI),,
2022,TOTAL DAS RECEITAS (V) = (III + IV),11370354156.94,2335608242.87
2022,TRANSFERÊNCIAS CORRENTES,4906608573.5,992846468.11
2022,TRANSFERÊNCIAS DE CAPITAL,144899943.2,16181611.46
2022,Taxas,153806855.27,33382218.66
2022,Transferências Provenientes de Depósitos Não Identificados,162169.23,8918.23
2022,Transferências da União e de suas Entidades,3658642228.8399997,771775429.8100001
2022,Transferências de Instituições Privadas,3029638.0,1155735.27
2022,Transferências de Outras Instituições Públicas,1387628485.25,233988822.64
2022,Transferências dos Estados e do Distrito Federal e de suas Entidades,767178.28,640611.63
2022,Transferências dos Municípios e de suas Entidades,1278817.1,1452048.53
2022,Valores Mobiliários,282376911.96,123399388.46
2024,ALIENAÇÃO DE BENS,,57055.14
2024,AMORTIZAÇÃO DA DÍVIDA,,
2024,AMORTIZAÇÃO DA DÍVIDA / REFINANCIAMENTO (XI),,
2024,Alienação de Bens Imóveis,,57055.14
2024,Alienação de Bens Móveis,,
2024,Amortização da Dívida Interna,,
2024,"Bens, Direitos e Valores Incorporados ao Patrimônio Público",11620498.1,
2024,CONTRIBUIÇÕES,1616556264.0,315517562.14
2024,Cessão de Direitos,87793645.63,10514572.86
2024,Contribuições Sociais,1616556264.0,315517562.14
2024,DESPESAS (EXCETO INTRA-ORÇAMENTÁRIAS) (VIII),,
2024,DESPESAS (INTRA-ORÇAMENTÁRIAS) (IX),,
2024,DESPESAS CORRENTES,,
2024,DESPESAS DE CAPITAL,,
2024,Demais Despesas Correntes,,
2024,Demais Receitas Correntes,276369672.12,137350132.63
2024,Demais Receitas Patrimoniais,206470.0,49404.33
2024,Demais Receitas de Capital,16000000.0,407485.49
2024,Demais Transferências Correntes,28672.0,
2024,Demais Transferências de Capital,,1379.97
2024,Dívida Contratual,,
2024,Exploração de Recursos Naturais,821262.0,3863137.49
2024,Exploração do Patrimônio Imobiliário do Estado,2775719.0,737850.57
2024,Exploração do Patrimônio Intangível,,
2024,"IMPOSTOS, TAXAS E CONTRIBUIÇÕES DE MELHORIA",6057248255.0,1166053114.43
2024,INVERSÕES FINANCEIRAS,,
2024,INVESTIMENTOS,,
2024,Impostos,5834046091.0,1129170627.23
2024,"Indenizações, Restituições e Ressarcimentos",79851822.0,87182708.89
2024,JUROS E ENCARGOS DA DÍVIDA,,
2024,"Multas Administrativas, Contratuais e Judiciais",82170470.0,13309399.73
2024,OPERAÇÕES DE CRÉDITO,5000000.0,107574.97
2024,OUTRAS DESPESAS CORRENTES,,
2024,OUTRAS RECEITAS CORRENTES,450012462.22,237842241.25
2024,OUTRAS RECEITAS DE CAPITAL,16000000.0,407485.49
2024,Operações de Crédito - Mercado Interno,5000000.0,107574.97
2024,Outros Serviços,70061634.0,11791334.549999999
2024,PESSOAL E ENCARGOS SOCIAIS,,
2024,RECEITA DE SERVIÇOS,510502835.0,81644570.71000001
2024,RECEITA PATRIMONIAL,834009593.28,103134641.89999999
2024,RECEITAS (EXCETO INTRA-ORÇAMENTÁRIAS) (I),15087648770.64,2942924098.66
2024,RECEITAS (INTRA-ORÇAMENTÁRIAS) (II),2307342750.0,475843438.22
2024,RECEITAS CORRENTES,16093080457.33,3149622590.32
2024,RECEITAS DE CAPITAL,148239688.31,31223227.45
2024,RESERVA DE CONTINGÊNCIA,,
2024,SALDOS DE EXERCÍCIOS ANTERIORES,1306078405.19,
2024,SUBTOTAL DAS DESPESAS (X) = (VIII + IX),,
2024,SUBTOTAL DAS RECEITAS (III) = (I + II),16241320145.64,3180845817.77
2024,SUPERÁVIT (XIII),,
2024,Serviços Administrativos e Comerciais Gerais,439726195.0,69766658.84
2024,Serviços e Atividades Referentes à Navegação e ao Transporte,715006.0,86577.32
2024,Superávit Financeiro Utilizado para Créditos Adicionais,1306078405.19,
2024,TOTAL COM DÉFICIT (VII) = (V + VI),16241320145.64,3180845817.77
2024,TOTAL COM SUPERÁVIT (XIV) = (XII + XIII),,
2024,TOTAL DAS DESPESAS (XII) = (X + XI),,
2024,TOTAL DAS RECEITAS (V) = (III + IV),16241320145.64,3180845817.77
2024,TRANSFERÊNCIAS CORRENTES,6624751047.83,1245430459.89
2024,TRANSFERÊNCIAS DE CAPITAL,127239688.31,30651111.85
2024,Taxas,223202164.0,36882487.2
2024,Transferências da União e de suas Entidades,4992360006.31,980250415.8699999
2024,Transferências de Instituições Privadas,5590227.0,212689.59
2024,Transferências de Outras Instituições Públicas,1721443941.43,292619605.15999997
2024,Transferências dos Estados e do Distrito Federal e de suas Entidades,20789158.0,
2024,Transferências dos Municípios e de suas Entidades,11778731.4,2997481.15
2024,Valores Mobiliários,742412496.65,87969676.65
